economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population
ECU,2020,8.38574905899645,36.9226102217479,5463.64515348598,17546065.0
ECU,2021,8.07999983280318,36.9128731750883,6061.32350181711,17682454.0
ECU,2022,7.39303992355462,36.9098164067734,6515.58528418336,17823897.0
ECU,2023,8.05137468415854,36.8692270445737,6718.1447938811,17980083.0
EGY,2010,13.3407591579645,57.0942824479846,2455.08194645282,89196072.0
EGY,2011,13.8691050980964,57.1365831529823,2590.64384891965,91093059.0
EGY,2012,11.2727652713919,57.1881485861475,2996.0677072015,93161001.0
EGY,2013,11.2743496022361,57.2485722811249,3025.52563552448,95333553.0
EGY,2014,11.3377089201878,57.3174477715592,3133.39102265541,97528654.0
EGY,2015,11.3940627685257,57.3943685910952,3306.98159414141,99597342.0
EGY,2016,11.769316084742,57.4789282733775,3270.6287768197,101644589.0
EGY,2017,10.9863806449848,57.5513991312821,2395.10333299491,103696057.0
EGY,2018,10.8302490249025,57.5422822550031,2484.70315630508,105682094.0
EGY,2019,10.6971354538956,57.5187972667352,2962.98892023003,107553158.0
EGY,2020,11.1668239443487,57.4818465369326,3511.11381026379,109315124.0
EGY,2021,11.4369326589725,57.4313937378532,3827.35415374308,110957008.0
EGY,2022,10.9457535224737,57.3674870991968,4233.30783744856,112618250.0
EGY,2023,10.6003111645036,57.2901884958081,3456.78965212363,114535772.0
ERI,2010,,64.3653450012207,539.699512069686,2945186.0
ERI,2011,,64.3293724060059,688.68165957684,2998485.0
ERI,2012,,64.3175735473633,,3036988.0
ERI,2013,,64.3286666870117,,3074360.0
ERI,2014,,64.360279083252,,3095173.0
ERI,2015,,64.408992767334,,3105546.0
ERI,2016,,64.4745712280273,,3124698.0
ERI,2017,,64.5572853088379,,3150347.0
ERI,2018,,64.6548957824707,,3192760.0
ERI,2019,,64.7647666931152,,3240194.0
ERI,2020,,64.883861541748,,3291271.0
ERI,2021,,65.0128860473633,,3350183.0
ERI,2022,,65.1530723571777,,3409447.0
ERI,2023,,65.303596496582,,3470390.0
ESP,2010,2.41740898393438,21.4861843765112,30658.7422282912,46576897.0
ESP,2011,2.3625185975353,21.304602043505,31824.6219134777,46742697.0
ESP,2012,2.39776671776239,21.1544319698382,28456.4438151477,46773055.0
ESP,2013,2.60946207875576,21.0141913097888,29228.846559842,46604197.0
ESP,2014,2.52697678134345,20.8803286166512,29707.765509467,46460733.0
ESP,2015,2.72327046339292,20.7545107256977,25982.4416197775,46422303.0
ESP,2016,2.81522075003094,20.6384044722003,26755.6061149398,46458139.0
ESP,2017,2.80344676690393,20.5336766914317,28381.3425596906,46571232.0
ESP,2018,2.70128254621885,20.4419942186639,30602.4212881113,46782011.0
ESP,2019,2.51980122994951,20.3650238891693,29786.5245689007,47118501.0
ESP,2020,2.78468031745976,20.3044325382201,27233.9426461608,47359424.0
ESP,2021,2.76824927112995,20.2153757016402,30799.4775937775,47443821.0
ESP,2022,2.36964000049424,20.0451205432186,30319.4987196616,47786102.0
ESP,2023,2.6062235563618,19.871508998144,33493.2225409111,48352528.0
EST,2010,3.17092945309266,32.1951957073738,14663.7041018705,1331475.0
EST,2011,3.66566862923271,32.1224443665494,17555.5455239426,1327439.0
EST,2012,3.2843229052027,32.0370406679684,17568.2137969714,1322696.0
EST,2013,3.04742973666601,31.9076541703232,19310.3874900757,1317997.0
EST,2014,3.11496161660999,31.7331617191968,20581.7898991695,1314545.0
EST,2015,2.80642152865051,31.5203390309447,17722.1557669523,1315407.0
EST,2016,2.0715978609001,31.275961821922,18666.3736521706,1315790.0
EST,2017,2.33885596628311,31.0068058084842,20851.5223496861,1317384.0
EST,2018,2.04938469969066,30.7196467069867,23618.1361254581,1321977.0
EST,2019,2.265648962634,30.4212602337846,24021.2501413306,1326898.0
EST,2020,1.93181527353408,30.1184221052335,23933.9939421065,1329522.0
EST,2021,1.94353771254558,29.8222725864178,27951.1659277744,1330932.0
EST,2022,2.44640859997873,29.5107666263262,28340.3826549406,1348840.0
EST,2023,1.71558125919165,29.3229914476874,30264.0064885057,1370286.0
ETH,2010,41.4468200699758,82.5062160491943,330.619412798644,90538514.0
ETH,2011,41.2499638574537,82.136209487915,343.024942351887,93149970.0
ETH,2012,44.3309427521463,81.7938632965088,452.101031885754,95798767.0
ETH,2013,41.2395055340925,81.384485244751,484.039833104062,98438751.0
ETH,2014,38.5204496889284,80.9737129211426,549.986577082588,101115610.0
ETH,2015,36.0569753905786,80.548433303833,597.912113218663,103867135.0
ETH,2016,34.6969564523634,80.1236381530762,641.651523286233,106718162.0
ETH,2017,33.7792813400479,79.6915149688721,696.348429076216,109666481.0
ETH,2018,31.218806650139,79.2161903381348,739.702022272086,112664152.0
ETH,2019,33.6333246910556,78.7513294219971,793.473247218996,115737383.0
ETH,2020,35.5582700358115,78.3739948272705,829.790982552951,118917671.0
ETH,2021,37.5791137563489,77.8932914733887,893.009835441784,122138588.0
ETH,2022,37.6422268391462,77.2632312774658,982.103161502198,125384287.0
ETH,2023,35.7864807851174,76.9413528442383,1055.81091593061,128691692.0
FIN,2010,2.36676641136983,30.2144201203053,46506.2919016566,5363352.0
FIN,2011,2.25898661809719,29.9416738125748,51060.3242589767,5388272.0
FIN,2012,2.18836399205502,29.6338636831288,47551.6740841369,5413971.0
FIN,2013,2.21182621856833,29.3257881840723,49691.0145200739,5438972.0
FIN,2014,2.21758033567317,29.0120831059247,50073.7760815871,5461512.0
FIN,2015,2.06049706934612,28.6945069959396,42560.3456767103,5479531.0
FIN,2016,2.08977502932082,28.3841616571829,43451.2562442158,5495303.0
FIN,2017,2.06803556647353,28.0436961687044,46085.0174739036,5508214.0
FIN,2018,2.11422780880102,27.6576532259657,49654.2497035329,5515525.0
FIN,2019,2.18977184111891,27.2568785641686,48358.1807773701,5521606.0
FIN,2020,2.24039393029227,26.9150560208327,48828.6846862799,5529543.0
FIN,2021,2.15907446415076,26.6289784219671,53099.1351400148,5541017.0
FIN,2022,2.24134367895993,26.3032402164051,50440.560224974,5556106.0
FIN,2023,2.33109283712753,25.9937451397172,52864.6931581216,5583911.0
FJI,2010,9.38189737562413,47.9584852214896,3449.14452883369,910419.0
FJI,2011,9.21771557173261,47.4664550524895,4139.60288609702,912989.0
FJI,2012,9.67577870713452,46.9616788705229,4341.40338748749,914918.0
FJI,2013,10.1131069949223,46.4447273700709,4572.44377544245,916352.0
FJI,2014,8.0985227018506,45.9161712456144,5293.35676680464,917585.0
FJI,2015,7.8716240846939,45.3765811916347,5097.53106864695,918578.0
FJI,2016,10.6643336396929,44.8265279026126,5363.79026679243,919166.0
FJI,2017,10.5318273601847,44.2591656550391,5826.84814459328,918759.0
FJI,2018,10.9065639753696,43.7671652614302,6085.41979485376,917180.0
FJI,2019,12.4005161469113,43.29010447743,5842.07344577597,914899.0
FJI,2020,15.6918345311972,42.813315308126,4620.6457238014,914963.0
FJI,2021,17.2536724147942,42.3381635238072,4536.73312110335,916711.0
FJI,2022,14.1928948833304,41.8647298534734,5414.12092119088,919422.0
FJI,2023,12.8245910153207,41.3930950261232,5926.20586394763,924145.0
FRA,2010,1.50088040274637,22.9037155191197,40694.8211697025,65026211.0
FRA,2011,1.55137276231397,22.8817282612491,43929.7840873812,65340830.0
FRA,2012,1.52594468949115,22.8330535080084,40863.5814412333,65657659.0
FRA,2013,1.36140137870511,22.7559278529082,42669.1795111893,65997932.0
FRA,2014,1.46154600121993,22.6475703211387,43148.0459288416,66312067.0
FRA,2015,1.50360116027898,22.2389080849934,36702.4323733379,66548272.0
FRA,2016,1.33798472564444,21.4000885294221,37024.2157133669,66724104.0
FRA,2017,1.43496006533197,21.3532195973632,38687.1626407164,66918020.0
FRA,2018,1.53110170543578,21.3285567463401,41418.1766484844,67158348.0
FRA,2019,1.40828485472535,21.3109215450644,40408.2848574751,67382061.0
FRA,2020,1.4604342657704,21.2880868234751,39169.8606000707,67601110.0
FRA,2021,1.46334541457898,21.2635396607662,43725.0999521245,67842811.0
FRA,2022,1.72017137018833,21.2408078876644,40988.6396406579,68184457.0
FRA,2023,1.48475796304424,21.2195676873453,44700.1384177544,68372286.0
FRO,2010,14.8137133793903,62.7463073730469,47924.1364756678,48656.0
FRO,2011,14.4254642225295,62.7024040222168,51620.0541648551,48542.0
FRO,2012,12.2216295031829,62.6755027770996,50263.0024625867,48290.0
FRO,2013,14.8016017473608,62.2585182189941,55759.364098362,48245.0
FRO,2014,14.9925404162692,62.0906105041504,60173.3057854661,48427.0
FRO,2015,15.6643760466594,61.8568496704102,52638.2668218454,48898.0
FRO,2016,19.4105036381493,61.6799774169922,56876.4302363804,49463.0
FRO,2017,17.9788585658383,61.6675300598145,59388.5365965776,50179.0
FRO,2018,16.3200031785764,61.5941162109375,62525.2647698273,50997.0
FRO,2019,17.0514062234626,61.6054344177246,63070.7228080361,51790.0
FRO,2020,13.7184823893818,61.3310012817383,62247.9273907098,52561.0
FRO,2021,14.2148369483437,61.1916236877441,69421.6981686515,53291.0
FRO,2022,18.7358298803846,61.0040175453243,67069.3987440509,53903.0
FRO,2023,17.7553649648471,60.8024729876355,72486.6910957957,54398.0
FSM,2010,25.2001712328767,77.7096470124862,2715.26873721406,107540.0
FSM,2011,26.8051948051948,77.7085335864528,2859.8488365615,107698.0
FSM,2012,28.5720987654321,77.7057431211575,3003.05867086848,107890.0
FSM,2013,26.8475477707006,77.7013676038854,2904.1536796737,108121.0
FSM,2014,25.2221835443038,77.6953806877521,2915.23672460238,108396.0
FSM,2015,26.5239423076923,77.6877663900589,2869.86276169101,108716.0
FSM,2016,27.0007645259939,77.6785103862445,2997.93719917488,109075.0
FSM,2017,27.4768698060942,77.667598810458,3297.37580036719,109481.0
FSM,2018,22.3979187817259,77.6550179644567,3584.78377566896,109909.0
FSM,2019,23.1956202531646,77.640754222919,3581.72684572278,110282.0
FSM,2020,22.0481374900209,77.6247939963402,3362.02802120524,110916.0
FSM,2021,22.1845195337408,77.6071237144589,3508.22314197664,111624.0
FSM,2022,23.2675927172437,77.5877298180947,3703.66680343222,112114.0
FSM,2023,23.3320526006399,77.5665987548097,3933.01607031874,112630.0
GAB,2010,3.91445441728357,13.8147407527055,8356.74662013345,1719879.0
GAB,2011,3.43228977977158,13.4334616349685,10219.1139339454,1781985.0
GAB,2012,3.35369777676334,13.1161364212999,9296.96587941088,1846889.0
GAB,2013,3.32908065074657,12.8517519328363,9197.70106323947,1913059.0
GAB,2014,3.62120476996243,12.3763982037031,9201.36276648105,1978399.0
GAB,2015,4.31162904410146,11.914691616108,7047.12654634355,2040989.0
GAB,2016,4.97313690987068,11.4554116593822,6677.07003901644,2100306.0
GAB,2017,5.2657648440765,10.9990266743104,6921.73373135624,2156900.0
GAB,2018,5.43595280305822,10.5460050018134,7624.2775233771,2212318.0
GAB,2019,5.5544308701413,10.0968149829606,7441.1786472281,2267706.0
GAB,2020,6.61619761297697,9.6519249589853,6605.80346077904,2322539.0
GAB,2021,6.76982280995704,9.2118032713033,8181.40914134398,2376722.0
GAB,2022,6.50616941615975,8.7756644540012,8409.20741452279,2430747.0
