economy,year,new_displacements
MLI,2020,7400
MLI,2021,6000
MLI,2022,24000
MLI,2023,1260
MLI,2024,30150
MMR,2010,106100
MMR,2011,10000
MMR,2012,48000
MMR,2013,223000
MMR,2014,80822
MMR,2015,1618500
MMR,2016,508840
MMR,2017,351280
MMR,2018,297586
MMR,2019,269333
MMR,2020,49158
MMR,2021,158835
MMR,2022,13236
MMR,2023,995250
MMR,2024,524821
MNE,2010,1400
MNE,2012,800
MNE,2016,400
MNE,2017,2
MNE,2023,1
MNG,2015,810
MNG,2018,5940
MNG,2019,13
MNG,2020,4200
MNG,2021,6300
MNG,2022,75
MNG,2023,3866
MNG,2024,892
MNP,2018,14122
MNP,2019,873
MNP,2023,1110
MOZ,2010,130000
MOZ,2011,22000
MOZ,2012,10000
MOZ,2013,186000
MOZ,2014,21200
MOZ,2015,61000
MOZ,2016,7000
MOZ,2017,170100
MOZ,2018,30840
MOZ,2019,505900
MOZ,2020,48449
MOZ,2021,43180
MOZ,2022,113000
MOZ,2023,655540
MOZ,2024,585489
MRT,2010,5000
MRT,2013,4620
MRT,2017,2900
MRT,2018,440
MRT,2019,6600
MRT,2020,1600
MRT,2022,23000
MRT,2023,1100
MRT,2024,12000
MTQ,2019,2
MUS,2015,1400
MUS,2016,300
MUS,2017,100
MUS,2018,3600
MUS,2019,1021
MUS,2020,113
MUS,2022,140
MUS,2023,2360
MUS,2024,2310
MWI,2011,25000
MWI,2012,6200
MWI,2013,33000
MWI,2014,600
MWI,2015,343000
MWI,2016,9500
MWI,2017,84590
MWI,2018,20304
MWI,2019,116738
MWI,2020,30412
MWI,2021,600
MWI,2022,297000
MWI,2023,659740
MWI,2024,65186
MYS,2010,65000
MYS,2011,24000
MYS,2012,22000
MYS,2013,43000
MYS,2014,255610
MYS,2015,21050
MYS,2016,18404
MYS,2017,82088
MYS,2018,38625
MYS,2019,63823
MYS,2020,23404
MYS,2021,128228
MYS,2022,156269
MYS,2023,205686
MYS,2024,235462
MYT,2019,10450
MYT,2024,142000
NAM,2010,11000
NAM,2011,60000
NAM,2012,400
NAM,2013,18000
NAM,2014,163
NAM,2015,8
NAM,2017,3330
NAM,2018,13
NAM,2019,2
NAM,2020,200
NAM,2021,260
NAM,2023,588
NAM,2024,1442
NCL,2017,570
NCL,2018,48
NCL,2020,31
NCL,2021,5498
NCL,2022,167
NER,2010,205600
NER,2011,28000
NER,2012,540000
NER,2013,201000
NER,2014,47000
NER,2015,38000
NER,2016,46000
NER,2017,188500
NER,2018,40000
NER,2019,121000
NER,2020,276100
NER,2021,125000
NER,2022,248000
NER,2023,95400
NER,2024,1172000
NGA,2010,560000
NGA,2011,6300
NGA,2012,3894000
NGA,2013,117000
NGA,2014,3010
NGA,2015,100600
NGA,2016,78050
NGA,2017,122000
NGA,2018,613330
NGA,2019,157092
NGA,2020,279934
NGA,2021,24000
NGA,2022,2437000
NGA,2023,164784
NGA,2024,1246263
NIC,2010,61000
NIC,2011,10000
NIC,2013,160
NIC,2014,32830
NIC,2015,1020
NIC,2016,17282
NIC,2017,19590
NIC,2018,6940
NIC,2019,576
NIC,2020,392751
NIC,2022,16000
NIC,2023,658
NIC,2024,2511
NLD,2020,4003
NLD,2021,51000
NLD,2024,63
NOR,2014,680
NOR,2015,220
NOR,2016,260
NOR,2017,220
NOR,2019,620
NOR,2020,1018
NOR,2021,775
NOR,2022,169
NOR,2023,5803
NOR,2024,587
NPL,2012,600
NPL,2013,12000
NPL,2014,74000
NPL,2015,95
NPL,2016,31000
NPL,2017,383942
NPL,2018,12099
NPL,2019,121007
NPL,2020,48011
NPL,2021,33366
NPL,2022,89198
NPL,2023,1118
NPL,2024,56425
NZL,2012,450
NZL,2013,210
NZL,2015,440
NZL,2016,285
NZL,2017,6250
NZL,2018,989
NZL,2019,1295
NZL,2020,4984
NZL,2021,4373
NZL,2022,2714
NZL,2023,14096
NZL,2024,1672
OMN,2013,350
OMN,2017,320
OMN,2018,10000
OMN,2019,1080
OMN,2020,118
OMN,2021,5210
OMN,2022,45
OMN,2023,4500
OMN,2024,1640
PAK,2010,11060000
PAK,2011,300000
PAK,2012,1857000
PAK,2013,124000
PAK,2014,758717
PAK,2015,335760
PAK,2016,12700
PAK,2017,1750
PAK,2018,1906
PAK,2019,44919
PAK,2020,826472
PAK,2021,2028
PAK,2022,8167424
PAK,2023,732220
PAK,2024,169454
PAN,2012,3400
PAN,2013,1715
PAN,2014,323
PAN,2015,100
PAN,2016,1055
PAN,2017,300
PAN,2019,32
PAN,2020,3706
PAN,2021,2210
PAN,2022,460
PAN,2023,26
PAN,2024,2165
PER,2010,10000
PER,2011,1000
PER,2012,170171
PER,2013,26980
PER,2014,528
PER,2015,8480
PER,2016,14643
PER,2017,294965
PER,2018,4702
PER,2019,4722
PER,2020,8426
PER,2021,3500
PER,2022,18322
PER,2023,186596
PER,2024,46539
PHL,2010,1001790
PHL,2011,2497528
PHL,2012,3671000
PHL,2013,6671075
PHL,2014,5736130
PHL,2015,2220620
PHL,2016,5930911
PHL,2017,2427146
PHL,2018,3712043
PHL,2019,4080852
PHL,2020,3942054
PHL,2021,5691949
PHL,2022,5236424
PHL,2023,2132610
PHL,2024,8952082
PLW,2012,150
PLW,2013,1500
PLW,2021,2460
PNG,2012,75000
PNG,2013,46
PNG,2014,18900
PNG,2016,1610
PNG,2017,500
PNG,2019,7724
PNG,2020,3935
PNG,2021,1455
PNG,2022,4587
PNG,2024,28690
POL,2010,30000
POL,2019,18
POL,2020,422
POL,2021,118
POL,2024,44000
PRI,2017,88190
PRI,2018,400
PRI,2019,240
PRI,2020,119
PRI,2022,49300
PRI,2024,340
PRK,2010,28000
PRK,2011,25000
PRK,2012,232000
PRK,2013,82000
PRK,2015,6000
PRK,2016,107000
PRK,2018,69000
PRK,2019,6400
PRK,2020,5300
PRK,2021,5000
PRK,2022,200
PRK,2024,13000
PRT,2015,10
PRT,2016,1052
PRT,2017,6790
PRT,2018,408
PRT,2019,648
PRT,2020,28
PRT,2021,34
PRT,2022,2482
PRT,2023,1779
PRT,2024,699
PRY,2013,28000
PRY,2014,84000
PRY,2015,171400
PRY,2016,3600
PRY,2017,9760
PRY,2018,30410
