economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
TKM,2018,11.0415688363389,52.9576051282235,3911.98557297865,6655524.0,0.0,0.0,11.1178074761568,52.9665142600524,5125.54920055808,0.0,0.0,8.54218804136402,0.0,0
TKM,2019,10.8735150244584,52.9505437533515,4365.1152919542,6803944.0,0.0,0.0,11.0415688363389,52.9576051282235,3911.98557297865,0.0,0.0,8.272055935257194,0.0,0
TKM,2020,11.5838634249365,52.9453038092741,3935.37749365223,6949912.0,0.0,0.0,10.8735150244584,52.9505437533515,4365.1152919542,0.0,0.0,8.381628943530407,0.0,0
TKM,2021,11.9345152162615,52.9418589698289,3713.20113171765,7092043.0,0.0,0.0,11.5838634249365,52.9453038092741,3935.37749365223,0.0,0.0,8.27801616151337,0.0,0
TKM,2022,11.0661103129735,52.9407896585074,5198.18947409551,7230193.0,0.0,0.0,11.9345152162615,52.9418589698289,3713.20113171765,0.0,0.0,8.219918895459152,0.0,0
TKM,2023,11.7692627442089,52.9321124945829,5298.46421949276,7364438.0,0.0,0.0,11.0661103129735,52.9407896585074,5198.18947409551,0.0,0.0,8.556258022054223,0.0,0
TLS,2011,22.160242931026,70.366647693549,939.045241112693,1110207.0,0.0,0.0,25.5964077031504,70.3601159979584,813.060177250597,0.0,0.0,6.702034291096299,0.0,0
TLS,2012,25.7964939188578,70.3863917650395,1022.61903188429,1134885.0,0.0,0.0,22.160242931026,70.366647693549,939.045241112693,0.0,0.0,6.845928002949185,0.0,0
TLS,2013,21.3199869831315,70.4163093746754,1204.56841532931,1158695.0,1294.0,111.67736116924644,25.7964939188578,70.3863917650395,1022.61903188429,0.0,0.0,6.931099697200211,4.724528523930668,0
TLS,2014,21.0507074370281,70.4536907975959,1224.74957758801,1181903.0,2333.0,197.39352552620645,21.3199869831315,70.4163093746754,1204.56841532931,111.67736116924644,37.22578705641548,7.09470644866893,5.2902525608818305,0
TLS,2015,17.8277581390576,70.4956684991581,1319.59297370991,1205131.0,301.0,24.976537820369735,21.0507074370281,70.4536907975959,1224.74957758801,197.39352552620645,103.02362889848429,7.111307835916158,3.2571937390969015,0
TLS,2016,17.0630746923768,70.5537092371829,1335.54390089814,1228312.0,112.0,9.118204495274815,17.8277581390576,70.4956684991581,1319.59297370991,24.976537820369735,111.3491415052742,7.185836137217701,2.3143362267027463,0
TLS,2017,17.1293898636009,70.6399003212908,1266.17767952941,1251703.0,0.0,0.0,17.0630746923768,70.5537092371829,1335.54390089814,9.118204495274815,77.16275594728366,7.197842382699912,0.0,0
TLS,2018,17.7713577078907,70.751382489943,1219.46598597604,1275959.0,0.0,0.0,17.1293898636009,70.6399003212908,1266.17767952941,0.0,11.36491410521485,7.144547406897307,0.0,0
TLS,2019,14.1291551737167,70.8851244754783,1562.36458881813,1300945.0,0.0,0.0,17.7713577078907,70.751382489943,1219.46598597604,0.0,3.0394014984249385,7.106988020518852,0.0,0
TLS,2020,13.2621545207774,71.0380950102353,1630.86935439232,1326053.0,1177.0,88.7596498782477,14.1291551737167,70.8851244754783,1562.36458881813,0.0,0.0,7.354595565419779,4.497135541123371,0
TLS,2021,8.67018187988423,71.2072628265528,2684.92673717299,1350139.0,16000.0,1185.0631675701538,13.2621545207774,71.0380950102353,1630.86935439232,88.7596498782477,29.5865499594159,7.397481479863997,7.078394839159719,1
TLS,2022,10.324624768579,71.4142707711032,2343.24955542816,1369295.0,0.0,0.0,8.67018187988423,71.2072628265528,2684.92673717299,1185.0631675701538,424.60760581613386,7.895781100900689,0.0,0
TLS,2023,17.1798122405238,71.404528167048,1502.4114958903,1384286.0,0.0,0.0,10.324624768579,71.4142707711032,2343.24955542816,0.0,424.60760581613386,7.7597206106561885,0.0,0
TON,2011,17.0659562210843,76.53924531633,3849.99375750134,107570.0,0.0,0.0,16.4379858757354,76.5756380900822,3416.08356601207,0.0,0.0,8.136542707775298,0.0,0
TON,2012,16.6359974823467,76.5410937364308,4384.17058724217,107460.0,400.0,372.2315280104225,17.0659562210843,76.53924531633,3849.99375750134,0.0,0.0,8.256086512806412,5.922198945604355,1
TON,2013,17.0733080496623,76.5829204979656,4219.24670113014,107078.0,17.0,15.876277106408413,16.6359974823467,76.5410937364308,4384.17058724217,372.2315280104225,124.07717600347416,8.385983806499356,2.825908914274736,0
TON,2014,16.3195876391853,76.6568959064029,4136.59010898445,106609.0,5300.0,4971.437683497641,17.0733080496623,76.5829204979656,4219.24670113014,15.876277106408413,129.36926837227696,8.347648865304784,8.511665478421873,1
TON,2015,16.8506590508632,76.7565577181561,4123.90347238813,106095.0,0.0,0.0,16.3195876391853,76.6568959064029,4136.59010898445,4971.437683497641,1786.5151628714905,8.327868798054682,0.0,0
TON,2016,16.6067373060163,76.8722961494079,3987.98618837043,105524.0,3000.0,2842.9551571206553,16.8506590508632,76.7565577181561,4123.90347238813,0.0,1662.4379868680164,8.324797897861801,7.952951023260375,1
TON,2017,16.8193728219433,77.0288699345034,4365.92929788648,105356.0,0.0,0.0,16.6067373060163,76.8722961494079,3987.98618837043,2842.9551571206553,2604.7976135394324,8.29129238947034,0.0,0
TON,2018,17.2484083539677,77.2982861074453,4675.04776047973,105567.0,5700.0,5399.414589786581,16.8193728219433,77.0288699345034,4365.92929788648,0.0,947.6517190402184,8.381815363266679,8.594231005491652,1
TON,2019,18.5717274171571,77.6711844373794,4788.83350468584,105669.0,0.0,0.0,17.2484083539677,77.2982861074453,4675.04776047973,5399.414589786581,2747.456582302412,8.450208536500389,0.0,0
TON,2020,17.0936649170189,78.1233793176589,4792.35872413906,105704.0,2700.0,2554.3025807916447,18.5717274171571,77.6711844373794,4788.83350468584,0.0,1799.8048632621937,8.474250930862617,7.845925922550213,1
TON,2021,16.5218701236255,78.741996102335,4922.8015864044,105490.0,0.0,0.0,17.0936649170189,78.1233793176589,4792.35872413906,2554.3025807916447,2651.2390568594087,8.474986639701186,0.0,0
TON,2022,17.4256295666446,78.852780548158,5298.01942454298,105042.0,0.0,0.0,16.5218701236255,78.741996102335,4922.8015864044,0.0,851.4341935972149,8.501836191286216,0.0,0
TON,2023,18.9589244958951,78.852055458663,5651.59357939286,104597.0,0.0,0.0,17.4256295666446,78.852780548158,5298.01942454298,0.0,851.4341935972149,8.575277068185795,0.0,0
